year	month	region	temp
1978	12	globe	-0.48
1978	12	globe_land	-0.51
1978	12	globe_ocean	-0.47
1978	12	nh	-0.44
1978	12	nh_land	-0.47
1978	12	nh_ocean	-0.42
1978	12	sh	-0.52
1978	12	sh_land	-0.62
1978	12	sh_ocean	-0.5
1978	12	trpcs	-0.6
1978	12	trpcs_land	-0.62
1978	12	trpcs_ocean	-0.59
1978	12	noext	-0.37
1978	12	noext_land	-0.45
1978	12	noext_ocean	-0.3
1978	12	soext	-0.46
1978	12	soext_land	-0.55
1978	12	soext_ocean	-0.45
1978	12	nopol	-0.39
1978	12	nopol_land	-0.68
1978	12	nopol_ocean	-0.06
1978	12	sopol	-0.46
1978	12	sopol_land	-0.38
1978	12	sopol_ocean	-0.49
1978	12	usa48	-1.29
1978	12	usa49	-1.15
1978	12	aust	-1.29
1979	1	globe	-0.47
1979	1	globe_land	-0.64
1979	1	globe_ocean	-0.41
1979	1	nh	-0.64
1979	1	nh_land	-0.86
1979	1	nh_ocean	-0.5
1979	1	sh	-0.31
1979	1	sh_land	-0.13
1979	1	sh_ocean	-0.35
1979	1	trpcs	-0.47
1979	1	trpcs_land	-0.54
1979	1	trpcs_ocean	-0.45
1979	1	noext	-0.73
1979	1	noext_land	-0.93
1979	1	noext_ocean	-0.55
1979	1	soext	-0.23
1979	1	soext_land	0.12
1979	1	soext_ocean	-0.29
1979	1	nopol	-0.46
1979	1	nopol_land	-0.95
1979	1	nopol_ocean	0.1
1979	1	sopol	-0.16
1979	1	sopol_land	-0.15
1979	1	sopol_ocean	-0.16
1979	1	usa48	-3.23
1979	1	usa49	-2.42
1979	1	aust	0.92
1979	2	globe	-0.43
1979	2	globe_land	-0.56
1979	2	globe_ocean	-0.39
1979	2	nh	-0.47
1979	2	nh_land	-0.57
1979	2	nh_ocean	-0.41
1979	2	sh	-0.39
1979	2	sh_land	-0.53
1979	2	sh_ocean	-0.37
1979	2	trpcs	-0.36
1979	2	trpcs_land	-0.25
1979	2	trpcs_ocean	-0.39
1979	2	noext	-0.54
1979	2	noext_land	-0.67
1979	2	noext_ocean	-0.42
1979	2	soext	-0.41
1979	2	soext_land	-0.7
1979	2	soext_ocean	-0.36
1979	2	nopol	-2.01
1979	2	nopol_land	-2.3
1979	2	nopol_ocean	-1.66
1979	2	sopol	-0.8
1979	2	sopol_land	-1.25
1979	2	sopol_ocean	-0.59
1979	2	usa48	-1.76
1979	2	usa49	-1.84
1979	2	aust	-0.3
1979	3	globe	-0.38
1979	3	globe_land	-0.51
1979	3	globe_ocean	-0.33
1979	3	nh	-0.46
1979	3	nh_land	-0.51
1979	3	nh_ocean	-0.44
1979	3	sh	-0.3
1979	3	sh_land	-0.53
1979	3	sh_ocean	-0.26
1979	3	trpcs	-0.36
1979	3	trpcs_land	-0.43
1979	3	trpcs_ocean	-0.34
1979	3	noext	-0.53
1979	3	noext_land	-0.54
1979	3	noext_ocean	-0.52
1979	3	soext	-0.26
1979	3	soext_land	-0.59
1979	3	soext_ocean	-0.21
1979	3	nopol	-0.56
1979	3	nopol_land	-0.47
1979	3	nopol_ocean	-0.65
1979	3	sopol	-0.53
1979	3	sopol_land	-1.25
1979	3	sopol_ocean	-0.18
1979	3	usa48	-0.7
1979	3	usa49	-0.39
1979	3	aust	0.22
1979	4	globe	-0.41
1979	4	globe_land	-0.57
1979	4	globe_ocean	-0.34
1979	4	nh	-0.47
1979	4	nh_land	-0.62
1979	4	nh_ocean	-0.37
1979	4	sh	-0.34
1979	4	sh_land	-0.46
1979	4	sh_ocean	-0.31
1979	4	trpcs	-0.35
1979	4	trpcs_land	-0.37
1979	4	trpcs_ocean	-0.34
1979	4	noext	-0.54
1979	4	noext_land	-0.72
1979	4	noext_ocean	-0.38
1979	4	soext	-0.33
1979	4	soext_land	-0.43
1979	4	soext_ocean	-0.31
1979	4	nopol	-0.84
1979	4	nopol_land	-0.81
1979	4	nopol_ocean	-0.88
1979	4	sopol	-0.26
1979	4	sopol_land	0.26
1979	4	sopol_ocean	-0.51
1979	4	usa48	-0.72
1979	4	usa49	-0.46
1979	4	aust	-1.12
1979	5	globe	-0.4
1979	5	globe_land	-0.56
1979	5	globe_ocean	-0.33
1979	5	nh	-0.52
1979	5	nh_land	-0.54
1979	5	nh_ocean	-0.52
1979	5	sh	-0.27
1979	5	sh_land	-0.62
1979	5	sh_ocean	-0.19
1979	5	trpcs	-0.46
1979	5	trpcs_land	-0.55
1979	5	trpcs_ocean	-0.43
1979	5	noext	-0.54
1979	5	noext_land	-0.52
1979	5	noext_ocean	-0.56
1979	5	soext	-0.18
1979	5	soext_land	-0.7
1979	5	soext_ocean	-0.09
1979	5	nopol	-0.77
1979	5	nopol_land	-0.56
1979	5	nopol_ocean	-1
1979	5	sopol	0.05
1979	5	sopol_land	-0.43
1979	5	sopol_ocean	0.27
1979	5	usa48	-0.82
1979	5	usa49	-0.75
1979	5	aust	-1.1
1979	6	globe	-0.4
1979	6	globe_land	-0.61
1979	6	globe_ocean	-0.31
1979	6	nh	-0.5
1979	6	nh_land	-0.61
1979	6	nh_ocean	-0.44
1979	6	sh	-0.29
1979	6	sh_land	-0.62
1979	6	sh_ocean	-0.22
1979	6	trpcs	-0.37
1979	6	trpcs_land	-0.5
1979	6	trpcs_ocean	-0.33
1979	6	noext	-0.55
1979	6	noext_land	-0.63
1979	6	noext_ocean	-0.48
1979	6	soext	-0.27
1979	6	soext_land	-0.74
1979	6	soext_ocean	-0.19
1979	6	nopol	-0.76
1979	6	nopol_land	-1.14
1979	6	nopol_ocean	-0.33
1979	6	sopol	-0.98
1979	6	sopol_land	-1.62
1979	6	sopol_ocean	-0.67
1979	6	usa48	-0.62
1979	6	usa49	-0.67
1979	6	aust	-0.56
1979	7	globe	-0.31
1979	7	globe_land	-0.57
1979	7	globe_ocean	-0.21
